id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|id_dun_14|productos_descripcion|productos_marca|precio_unitario_bulto_por_unidad_venta_con_iva|precio_unitario_bulto_por_unidad_venta_sin_iva|unidad_venta|precio_bulto_con_iva|precio_bulto_sin_iva|productos_precio_unitario_con_iva_promo1|productos_precio_unitario_sin_iva_promo1|productos_leyenda_promo1|productos_precio_unitario_con_iva_promo2|productos_precio_unitario_sin_iva_promo2|productos_leyenda_promo2
62|1|4|7798184585019|1|17798184585019|MULTIMAX JAB LIQ ROPA C/SUA 200ML|Sin marca|1129.99|933.88|1|1129.99|933.88||||||
62|1|4|7791290796638|1|17791290796638|VIVERE SUAV EXPLOS FLORAL DP900ML|Sin marca|2694.98|2227.26|1|2694.98|2227.26||||||
62|1|4|7791290796607|1|17791290796607|VIVERE SUAVI CLASICO900ML|Sin marca|2694.98|2227.26|1|2694.98|2227.26||||||
62|1|4|7791290794276|1|17791290794276|ALA ULTRA LV LIMON BTX300ML|Sin marca|1330|1099.17|1|1330|1099.17||||||
62|1|4|7790990004142|1|17790990004142|PLUSBELLE JAB RADIANTE 3X120|Sin marca|2579.99|2132.22|1|2579.99|2132.22||||||
62|1|4|0041333001074|1|10041333001074|DURACELL PILA AAA X 2U|Sin marca|3679.99|3041.31|1|3679.99|3041.31||||||
62|1|4|0041333000992|1|10041333000992|DURACELL PILA C MEDIANA X2U.|Sin marca|10209.99|8438.01|1|10209.99|8438.01||||||
62|1|4|7509552902501|1|17509552902501|ELVIVE SH REP TOTAL 2 EN 1 X400ML|Sin marca|8749.99|7231.4|1|8749.99|7231.4||||||
62|1|4|7509552902525|1|17509552902525|ELVIVE CREMA REP TOTAL5 250ML|Sin marca|6080|5024.79|1|6080|5024.79||||||
62|1|4|7509552903362|1|17509552903362|ELVIVE MASCAR REP TOTAL5 300ML|Sin marca|7874.99|6508.26|1|7874.99|6508.26||||||
62|1|4|7798345760699|1|17798345760699|MAMADERA ESTAMPADA X 250-GRANJA|Sin marca|5069.98|4190.07|1|5069.98|4190.07||||||
