id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
64|1|2|SUCURAL TIGRE|Mayorista|Av Crisologo Larralde|2109|-34.4416322|-58.5851477|. .|Los Troncos del Talar|B1608BED|TIGRE|AR-B|09:00 a 17:30|09:00 a 17:30|09:00 a 17:30|09:00 a 17:30|09:00 a 17:30|07:00 a 18:00|Cerrado
64|1|3|Campana|Mayorista|Panamericana y Ruta 6|0|-34.182607|-58.9624207|                                                                                                                                                                 |Campana|2804ACP|CAMPANA|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|Cerrado
64|1|4|Jose C. Paz|Mayorista|Ruta Prov. N24 entre Pichincha y Carrasco|0|-34.5288863|-58.7739669|                                                                                                                                                                 |Jose C. Paz|1665|JOSE C. PAZ|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|Cerrado
64|1|5|Sta Fe|Mayorista|Blas Parera|5861|-31.609455|-60.720443|                                                                                                                                                                 |                                                            |1111|SANTA FE|AR-S|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 16:00|Cerrado
64|1|6|Cordoba|Mayorista|Av. Circunvalacíon y Rancagua|0|-31.3610496|-64.1464825|                                                                                                                                                                 |                                                            |5012|CORDOBA|AR-X|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 16:00|Cerrado
64|1|8|Neuquen|Mayorista|Ruta 22 y Alumine|0|-38.959068|-68.037130|                                                                                                                                                                 |                                                            |8000|NEUQUEN|AR-Q|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 16:00|Cerrado
64|1|9|Salta|Mayorista|AV Paraguay|2690|-24.818818|-65.425411|                                                                                                                                                                 |                                                            |            |SALTA|AR-A|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|10|Autopista|Mayorista|J. B. Alberdi|4550|-34.6425295|-58.4901885|                                                                                                                                                                 |CABA|1407|CABA|AR-C|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 18:00|Cerrado
64|1|12|Mar del Plata|Mayorista|Ruta 88 y Av. Fortunato de la Plaza|0|-38.009093|-57.614841|                                                                                                                                                                 |                                                            |            |MAR DEL PLATA|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|Cerrado
64|1|13|B.Blanca|Mayorista|Don Bosco|1000|-38.6979803|-62.3279849|                                                                                                                                                                 |                                                            |8000BEV|BAHIA BLANCA|AR-B|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 17:30|08:00 a 16:00|Cerrado
64|1|14|Mendoza|Mayorista|Carril Rodriguez Peña|2051|-32.92885|-68.814143|                                                                                                                                                                 |Godoy Cruz|5501|MENDOZA|AR-M|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|15|Chaco|Mayorista|Ruta 11 y Ruta 16 Rotonda Donet|0|-27.409123|-59.003318|                                                                                                                                                                 |                                                            |            |CHACO|AR-H|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|16|San Juan|Mayorista|Acceso este, entre Circunvalación y monumento al Gaucho|0|-31.552218|-68.488842|                                                                                                                                                                 |Santa Lucia|            |SAN JUAN|AR-J|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|18|Moreno|Mayorista|Colectora Sur Acceso Oeste KM|38|-34.628354|-58.807539|                                                                                                                                                                 |La Reja|            |MORENO|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|Cerrado
64|1|19|Maschwitz|Mayorista|Panamericana - Ruta 9  KM|42|-34.3986115|-58.7406262|                                                                                                                                                                 |Ingeniero Maschwitz|B1623ABD|MASCHWITZ|AR-B|08:00 a 18:30|08:00 a 18:30|08:00 a 18:30|08:00 a 18:30|08:00 a 18:30|08:00 a 19:00|Cerrado
64|1|20|Roca|Mayorista|Ruta 22  Km|1174|-39.065606|-67.583735|                                                                                                                                                                 |General Roca|8332|GENERAL ROCA|AR-R|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|21|Misiones|Mayorista|Ruta 12 Km|7|-27.440379|-55.880345|                                                                                                                                                                 |Garupa|3304|POSADAS|AR-N|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|08:00 a 20:00|Cerrado
64|1|22|Trelew|Mayorista|Rotonda Ruta 25 y Ruta 3|0|-43.231763|-65.303994|                                                                                                                                                                 |Trelew|9100|Trelew|AR-O|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|Cerrado
64|1|23|Jujuy|Mayorista|COLECTORA RN9|2055|-24.21393|-65.28438| |JUJUY||JUJUY|Jujuy|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|cerrado
64|1|24|Chacabuco|Mayorista|Av. José María Moreno 960, C1424AAW CABA|960|-34.62825|-58.42814| |CABA|1424|CABA|AR-C|8:00 a 17:30|8:00 a 17:30|8:00 a 17:30|8:00 a 17:30|8:00 a 17:30|8:00 a 18:00|Cerrado

Ultima actualizacion: 2026-05-07T22:00:02-03:00
