snapshot_key,fecha_lista,producto_objetivo,id_comercio,id_bandera,id_sucursal,proveedor_razon_social,proveedor_nombre,sucursal_nombre,sucursal_tipo,sucursal_localidad,sucursal_provincia,sucursal_direccion,producto_id,producto_ean,producto_descripcion,producto_marca,producto_presentacion,precio_unitario_con_iva,precio_unitario_sin_iva,unidad_venta,precio_bulto_con_iva,precio_bulto_sin_iva,promo1_precio_con_iva,promo1_leyenda,promo2_precio_con_iva,promo2_leyenda,comercio_ultima_actualizacion,archivo_origen
60|1|0013|7790580160807|Aceite maiz ARCOR x 900ml|4855.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790580160807,1,Aceite maiz ARCOR x 900ml,ARCOR,x 900ml,4855.00,4012.40,12.00,58260.00,48148.80,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7798023697934|Aceite mezcla BONMAR pet x900cc|2299.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7798023697934,1,Aceite mezcla BONMAR pet x900cc,BONMAR,x900cc,2299.00,1900.00,15.00,34485.00,28500.00,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7792180001665|Aceite girasol CAÑUELAS x1.5lt|4998.99,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7792180001665,1,Aceite girasol CAÑUELAS x1.5lt,CAÑUELAS,x1.5lt,4998.99,4131.40,12.00,59987.88,49576.80,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7792180007988|Aceite girasol CAÑUELAS x5lt|18999.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7792180007988,1,Aceite girasol CAÑUELAS x5lt,CAÑUELAS,x5lt,18999.00,15701.65,4.00,75996.00,62806.60,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7792180001641|Aceite girasol CAÑUELAS x900cc|3099.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7792180001641,1,Aceite girasol CAÑUELAS x900cc,CAÑUELAS,x900cc,3099.00,2561.16,12.00,37188.00,30733.92,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7790060023684|Aceite girasol COCINERO x1.5lt|4899.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790060023684,1,Aceite girasol COCINERO x1.5lt,COCINERO,x1.5lt,4899.00,4048.76,12.00,58788.00,48585.12,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7790070012050|Aceite girasol COCINERO x900cc|2999.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790070012050,1,Aceite girasol COCINERO x900cc,COCINERO,x900cc,2999.00,2478.51,15.00,44985.00,37177.65,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7790070231604|Aceite girasol oliva COCINERO 1.5lt|6929.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790070231604,1,Aceite girasol oliva COCINERO 1.5lt,COCINERO,1.5lt,6929.00,5726.45,12.00,83148.00,68717.40,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7790060234868|Aceite mezcla COCINERO x900cc|2599.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790060234868,1,Aceite mezcla COCINERO x900cc,COCINERO,x900cc,2599.00,2147.93,15.00,38985.00,32218.95,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
60|1|0013|7790070231864|Aceite oliva COCINERO ext vir int.x500ml|10999.00,2026-05-08,aceite,60,1,0013,MAYCAR S.A.,Supermayorista Vital,La Plata,mayorista,La Plata,AR-B,Av. 520 e/ 21 y 23 2650,7790070231864,1,Aceite oliva COCINERO ext vir int.x500ml,COCINERO,x500ml,10999.00,9090.08,12.00,131988.00,109080.96,,,,,2026-05-08T05:33:10-03:00,2026-05-08/sepa_1_comercio-sepa-60_2026-05-08_09-05-10.zip
